"track_name","artist","album","release_date","duration_ms"
"Resonance","Home","Odyssey","2014-07-01",212880
"Baby Come Back","Player","Player","1977-09-01",255845
"20190724","Mac DeMarco","One Wayne G","2023-04-21",70097
"Let's Groove","Earth, Wind & Fire","Raise!","1981-11-14",339320
"Heaven Knows I'm Miserable Now - 2011 Remaster","The Smiths","Hatful of Hollow","1984",215760
"Tonight Is The Night","Le Click","Sweet Dreams","1996-01-16",233466
"怪物","YOASOBI","怪物","2021-01-06",206000
"Ella Baila Sola","Eslabon Armado","Ella Baila Sola","2023-03-16",165671
"Sea Shanty 2","OSRSBeatz","Sea Shanty 2","2015-07-19",110053
"Cheri Cheri Lady","Modern Talking","Let's Talk About Love","1985",226333
"What Is Love - 7"" Mix","Haddaway","What Is Love (Remixes)","1993-03-22",270373
"Ballin' (with Roddy Ricch)","Mustard","Perfect Ten","2019-06-28",180434
"Assumptions","Sam Gellaitry","Assumptions (Jengi Remix)","2023-02-10",220838
"La Bilirrubina","Juan Luis Guerra 4.40","Bachata Rosa","1990-01-01",245120
"Kumomi","Nujabes","Metaphorical Music","2003-08-21",233626
"Virtual Insanity - Remastered","Jamiroquai","High Times: Singles 1992-2006","2006-11-06",229360
"Freaking Out the Neighborhood","Mac DeMarco","2","2012-10-16",173888
"Please, Stop Hatin'","Flavio Rodriguez","Flaviolous","2007-01-29",207306
"Pop It","Andora","Pop It","2023-03-03",185705
"De Música Ligera - Remasterizado 2007","Soda Stereo","Canción Animal (Remastered)","1990-10-09",212746
"I Really Want to Stay at Your House","Rosa Walton","Cyberpunk 2077: Radio, Vol. 2 (Original Soundtrack)","2020-12-18",246652
"Brother Louie","Modern Talking","Ready For Romance","1986",222666
"Dale Zelda Dale","Ganon Rosario","Dale Zelda Dale","2023-01-27",142663
"I Feel It Coming","The Weeknd","Starboy","2016-11-25",269186
"Yeah! (feat. Lil Jon & Ludacris)","Usher","Confessions (Expanded Edition)","2004-03-23",250373
"Hydrogen","M|O|O|N","MOON E.P.","2011-11-27",289523
"Aquarius","Galt MacDermot","Hair","1979",288360
"M.A (Mejores Amigos)","BM","M.A (Mejores Amigos)","2022-09-20",158309
"Gatillo Y Plomo","Omega","Gatillo Y Plomo","2014-10-15",208213
